Index,Year,Opening Weekend Gross,US & Canada Gross,Worldwide Gross,Budget,awards,oscar wins,oscar nominated,Genre,Genre,Genre,Director 1,Director 2,Director 3
299,1984,,,,,2,0,0,Documentary,Biography,,George Stevens Jr.,,
300,1958,,,,,0,0,0,Drama,,,Richard L. Bare,,
301,1971,,,,,0,0,0,Documentary,Music,,Peter Pilafian,,
302,2011,,,,350000,0,0,0,Musical,,,Robin Saex Garbose,,
303,2017,,,,,0,0,0,Animation,Comedy,Family,,,
304,2009,,,,4000,0,0,0,Documentary,,,Corey Kealiher, Chris Rye,
305,1919,,,,,0,0,0,Drama,,,Gilbert P. Hamilton,,
306,1986,,,,,0,0,0,Documentary,,,Vivian Kubrick,,
307,1989,11750203,74515899,74534399,28000000,0,0,0,Comedy,,,Jeremiah S. Chechik,,
308,2012,143818,19019882,198087212,45000000,28,0,1,Drama,History,Thriller,J.A. Bayona,,
309,1999,21706163,55691208,162257226,65000000,12,0,0,Drama,Mystery,Thriller,Stanley Kubrick,,
